startDate,stopDate,Truck
2015-03-19 00:00:00,2015-03-20 00:00:00,Budmo 03
2015-03-19 00:00:00,2015-03-20 00:00:00,Enduro 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Enduro 02
2015-03-19 00:00:00,2015-03-20 00:00:00,Enduro 03
2015-03-19 00:00:00,2015-03-20 00:00:00,SN Matjoko 02
2015-03-19 00:00:00,2015-03-20 00:00:00,Mabeleng 01
2015-03-19 00:00:00,2015-03-20 00:00:00,SN Matjoko 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Isilungo 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Nyangaya 01
2015-03-19 00:00:00,2015-03-20 00:00:00,Illovo Sub 545231
2015-03-19 00:00:00,2015-03-20 00:00:00,BWF005
2015-03-19 00:00:00,2015-03-20 00:00:00,DLJ619MP
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBU01
2015-03-19 00:00:00,2015-03-20 00:00:00,BWBU02
