Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
236081,A16171,165,2011-08-06 14:45:00,2011-08-06 14:45:00,2011-08-06 17:40:00,2011-08-06 16:30:00,0,-1,92,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236086,A16172,165,2011-08-06 18:00:00,2011-08-06 18:00:00,2011-08-06 22:30:00,2011-08-06 20:50:00,0,0,89,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236087,A15914,165,2011-08-07 03:40:00,2011-08-07 03:40:00,2011-08-07 09:35:00,2011-08-07 06:15:00,0,-3,79,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236026,191681,12,2011-08-10 16:00:00,2011-08-10 17:20:00,2011-08-12 08:00:00,2011-08-12 05:40:00,1,-2,5,10 August,Devon Bezuidenhout,Mylaw Chemicals
236090,A16190,152,2011-08-09 13:20:00,2011-08-09 13:20:00,2011-08-09 16:15:00,2011-08-09 14:50:00,0,-1,22,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236092,F10595,E01,2011-08-10 16:00:00,2011-08-10 19:30:00,2011-08-11 16:00:00,2011-08-12 09:20:00,4,17,5,10 August,Cameron Singh,Engen
235912,196307,229,2011-08-10 14:00:00,2011-08-10 13:50:00,2011-08-12 10:00:00,2011-08-12 06:20:00,0,-2,46,10 August,Mario Dorlly,Monteagle Africa Limited
236093,A16191,152,2011-08-09 16:30:00,2011-08-09 16:30:00,2011-08-09 19:45:00,2011-08-09 18:20:00,0,-1,18,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236096,A16192,152,2011-08-09 20:40:00,2011-08-09 20:10:00,2011-08-09 23:40:00,2011-08-09 22:25:00,1,-1,14,10 August,Kenny Hiscock,Hillside Aluminium Ltd
236033,196372,19,2011-08-10 15:00:00,2011-08-10 15:23:00,2011-08-11 15:00:00,2011-08-11 11:56:00,0,-3,4,10 August,Mario Dorlly,Plaaskem (Pty) Ltd
236036,191814,171,2011-08-10 16:00:00,2011-08-10 17:27:00,2011-08-12 10:00:00,2011-08-11 07:00:00,1,-27,5,10 August,Mario Dorlly,Omnia Fertiliser
236098,A16270,163,2011-08-10 20:00:00,2011-08-10 18:00:00,2011-08-11 12:00:00,2011-08-11 09:45:00,-2,-2,7,10 August,Kenny Hiscock,Arcelor Mittal
236083,191374,203,2011-08-10 13:00:00,2011-08-10 12:40:00,2011-08-11 12:00:00,2011-08-11 06:35:00,0,-5,2,10 August,Mario Dorlly,Transrail
236100,A16151,153,2011-08-02 07:45:00,2011-08-02 07:45:00,2011-08-02 12:05:00,2011-08-02 10:45:00,0,-1,196,10 August,Kenny Hiscock,Hillside Aluminium Ltd
